tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0071394,movie,Dead Cert,Dead Cert,0,1974,,99,"Drama,Thriller"
tt0071461,tvEpisode,Electra,Electra,0,1974,,,Drama
tt0071663,movie,The Internecine Project,The Internecine Project,0,1974,,89,"Action,Thriller"
tt0071697,tvEpisode,Joe's Ark,Joe's Ark,0,1974,,66,"Comedy,Drama"
tt0071734,tvMovie,The Lady from the Sea,The Lady from the Sea,0,1974,,110,Drama
tt0071869,tvEpisode,Ms or Jill and Jack,Ms or Jill and Jack,0,1974,,,
tt0071903,tvEpisode,The Next Victim,The Next Victim,0,1976,,66,"Crime,Drama,Fantasy"
tt0072211,tvMovie,The Story of Jacob and Joseph,The Story of Jacob and Joseph,0,1974,,120,"Drama,History"
tt0072239,movie,Symptoms,Symptoms,0,1974,,92,Horror
tt0072502,tvMiniSeries,Five Red Herrings,Five Red Herrings,0,1975,1975,50,"Crime,Mystery"
tt0072812,movie,Conduct Unbecoming,Conduct Unbecoming,0,1975,,107,"Crime,Drama,Mystery"
tt0072842,tvMovie,Daft As a Brush,Daft As a Brush,0,1975,,,
tt0073160,tvMovie,In This House of Brede,In This House of Brede,0,1975,,105,Drama
tt0073213,movie,Journey Into Fear,Journey Into Fear,0,1975,,100,Thriller
tt0073275,movie,Legend of the Werewolf,Legend of the Werewolf,0,1975,,85,Horror
tt0073304,tvMovie,The Lives of Jenny Dolan,The Lives of Jenny Dolan,0,1975,,100,Drama
tt0073648,tvEpisode,The Saliva Milkshake,The Saliva Milkshake,0,1975,,,Drama
tt0073740,tvEpisode,A Sprig of Broom,A Sprig of Broom,0,1975,,,"Drama,History,War"
tt0073796,movie,The Terrorists,Ransom,0,1974,,89,"Crime,Drama,Thriller"
tt0073981,tvMiniSeries,Dickens of London,Dickens of London,0,1976,1977,60,"Biography,Drama,Romance"
tt0074006,tvMiniSeries,"I, Claudius","I, Claudius",0,1976,1976,50,"Biography,Drama,History"
tt0074026,tvSeries,Most Wanted,Most Wanted,0,1976,1977,60,"Crime,Drama"
tt0074037,tvSeries,Orde Wingate,Orde Wingate,0,1976,,75,Drama
tt0074108,movie,The Night of the Askari,Albino,0,1976,,97,"Action,Adventure,Drama"
tt0074115,tvMovie,Alien Attack,Alien Attack,0,1976,,104,"Adventure,Drama,Sci-Fi"
tt0074452,movie,The Eagle Has Landed,The Eagle Has Landed,0,1976,,123,"Adventure,Drama,Thriller"
tt0075072,tvEpisode,Play Things,Play Things,0,1976,,,Drama
tt0075151,tvMovie,Rogue Male,Rogue Male,0,1976,,103,"Drama,Thriller"
tt0075492,tvSeries,Citizen Smith,Citizen Smith,0,1977,1980,30,Comedy
tt0075764,movie,The Black Panther,The Black Panther,0,1977,,97,"Crime,Thriller"
tt0075862,tvMovie,Code Name: Diamond Head,Code Name: Diamond Head,0,1977,,78,"Action,Crime,Drama"
tt0076119,movie,Gulliver's Travels,Gulliver's Travels,0,1977,,81,"Adventure,Animation,Comedy"
tt0076319,movie,A Little Night Music,A Little Night Music,0,1977,,124,"Comedy,Musical,Romance"
tt0076541,tvMovie,"Philby, Burgess and Maclean","Philby, Burgess and Maclean",0,1977,,90,Drama
tt0076718,tvEpisode,The Sinking of HMS Victoria,The Sinking of HMS Victoria,0,1977,,,"Crime,Drama,Mystery"
tt0076868,movie,Valentino,Valentino,0,1977,,128,"Biography,Drama"
tt0077020,tvSeries,Hazell,Hazell,0,1978,1979,60,"Crime,Drama"
tt0077084,tvSeries,The Standard,The Standard,0,1978,,50,
tt0077341,movie,The Class of Miss MacMichael,The Class of Miss MacMichael,0,1978,,94,"Comedy,Drama"
tt0077569,tvEpisode,For Tea on Sunday,For Tea on Sunday,0,1978,,,"Crime,Drama,Mystery"
